Language,Operation,Iteration,Time,Length
PerlAPI,Newxz_zero,60,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,61,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,62,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,63,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,64,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,65,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,66,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,67,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,68,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,69,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,70,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,71,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,72,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,73,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,74,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,75,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,76,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,77,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,78,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,79,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,80,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,81,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,82,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,83,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,84,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,85,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,86,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,87,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,88,2.86102294921875e-06,10000000
PerlAPI,Newxz_zero,89,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,90,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,91,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,92,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,93,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,94,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,95,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,96,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,97,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,98,1.9073486328125e-06,10000000
PerlAPI,Newxz_zero,99,2.14576721191406e-06,10000000
PerlAPI,Newxz_zero,100,2.14576721191406e-06,10000000
PerlAPI,Newx,1,7.29560852050781e-05,10000000
